Ship_Mode,Segment,Country,City,State,Postal_Code,Region,Category,Sub_Category,Sales,Quantity,Discount,Profit,Fecha_Estimada,Anio,Mes,Margen_Profit,Venta_Promedio_Unidad,Rango_Descuento
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,97.04,2,0.2,1.213,2014-01-08,2014,1,0.0125,48.52,1%-20%
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,72.784,1,0.2,-18.196,2014-01-08,2014,1,-0.25,72.784,1%-20%
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,1.248,3,0.8,-1.9344,2014-01-08,2014,1,-1.5499999999999998,0.416,61%-80%
First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248,2014-01-08,2014,1,-0.6,3.236,41%-60%
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,27.24,3,0.2,2.724,2014-01-08,2014,1,0.10000000000000002,9.08,1%-20%
Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,19.3,5,0.6,-14.475,2014-01-08,2014,1,-0.75,3.8600000000000003,41%-60%
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,208.16,1,0.0,56.2032,2014-01-08,2014,1,0.27,208.16,0%
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,16.74,3,0.0,8.0352,2014-01-09,2014,1,0.48000000000000004,5.579999999999999,0%
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,14.9,5,0.0,4.172,2014-01-09,2014,1,0.27999999999999997,2.98,0%
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,21.39,1,0.0,6.2031,2014-01-09,2014,1,0.29,21.39,0%
Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,200.984,7,0.2,62.8075,2014-01-09,2014,1,0.3125,28.712,1%-20%
First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,230.376,3,0.2,-48.9549,2014-01-09,2014,1,-0.2125,76.792,1%-20%
Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,301.96,2,0.0,33.2156,2014-01-09,2014,1,0.11000000000000001,150.98,0%
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,19.99,1,0.0,6.7966,2014-01-09,2014,1,0.34,19.99,0%
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,6.16,2,0.0,2.9568,2014-01-09,2014,1,0.48,3.08,0%
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,158.368,7,0.2,13.8572,2014-01-09,2014,1,0.08750000000000001,22.624,1%-20%
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,20.1,3,0.0,6.633,2014-01-09,2014,1,0.32999999999999996,6.7,0%
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,73.584,2,0.2,8.2782,2014-01-10,2014,1,0.11249999999999999,36.792,1%-20%
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,6.48,1,0.0,3.1104,2014-01-10,2014,1,0.4799999999999999,6.48,0%
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,12.96,2,0.0,6.2208,2014-01-10,2014,1,0.4799999999999999,6.48,0%
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,53.34,3,0.0,16.5354,2014-01-10,2014,1,0.30999999999999994,17.78,0%
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,32.96,2,0.0,16.1504,2014-01-10,2014,1,0.49000000000000005,16.48,0%
Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,5.682,1,0.7,-3.788,2014-01-10,2014,1,-0.6666666666666666,5.682,61%-80%
Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,96.53,7,0.0,40.5426,2014-01-10,2014,1,0.42,13.790000000000001,0%
First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,51.312,3,0.2,17.9592,2014-01-10,2014,1,0.35,17.104,1%-20%
Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,77.88,6,0.0,22.5852,2014-01-10,2014,1,0.29000000000000004,12.979999999999999,0%
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,64.624,7,0.2,22.6184,2014-01-10,2014,1,0.35000000000000003,9.232,1%-20%
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,95.976,3,0.2,-10.7973,2014-01-11,2014,1,-0.1125,31.992,1%-20%
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396,2014-01-11,2014,1,-1.7,0.596,61%-80%
Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,23.92,4,0.0,11.7208,2014-01-11,2014,1,0.49,5.98,0%
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,238.896,6,0.2,-26.8758,2014-01-11,2014,1,-0.11250000000000002,39.815999999999995,1%-20%
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,102.36,3,0.2,-3.8385,2014-01-11,2014,1,-0.0375,34.12,1%-20%
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,36.882,3,0.7,-25.8174,2014-01-11,2014,1,-0.7000000000000001,12.293999999999999,61%-80%
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,74.112,8,0.2,17.6016,2014-01-11,2014,1,0.23750000000000004,9.264,1%-20%
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,27.992,1,0.2,2.0994,2014-01-11,2014,1,0.075,27.992,1%-20%
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,3.304,1,0.2,1.0738,2014-01-11,2014,1,0.32500000000000007,3.304,1%-20%
Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,339.96,5,0.2,67.992,2014-01-11,2014,1,0.20000000000000004,67.99199999999999,1%-20%
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,41.96,2,0.0,10.9096,2014-01-12,2014,1,0.25999999999999995,20.98,0%
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,75.96,2,0.0,22.788,2014-01-12,2014,1,0.30000000000000004,37.98,0%
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,27.24,6,0.0,13.3476,2014-01-12,2014,1,0.49000000000000005,4.54,0%
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,40.096,14,0.2,14.5348,2014-01-12,2014,1,0.36250000000000004,2.864,1%-20%
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,4.72,2,0.2,1.652,2014-01-12,2014,1,0.35,2.36,1%-20%
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,23.976,3,0.2,7.4925,2014-01-12,2014,1,0.3125,7.992,1%-20%
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,130.464,6,0.2,44.0316,2014-01-12,2014,1,0.33749999999999997,21.744,1%-20%
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,787.53,3,0.0,165.3813,2014-01-12,2014,1,0.21000000000000002,262.51,0%
Standard Class,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,157.794,1,0.7,-115.7156,2014-01-12,2014,1,-0.7333333333333333,157.794,61%-80%
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,47.04,3,0.0,18.3456,2014-01-12,2014,1,0.39,15.68,0%
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,30.84,4,0.0,13.878,2014-01-13,2014,1,0.45,7.71,0%
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,226.56,6,0.0,63.4368,2014-01-13,2014,1,0.27999999999999997,37.76,0%
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,115.02,9,0.0,51.759,2014-01-13,2014,1,0.45,12.78,0%
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,68.04,7,0.0,19.7316,2014-01-13,2014,1,0.29,9.72,0%
Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,600.558,3,0.3,-8.5794,2014-01-13,2014,1,-0.014285714285714285,200.186,21%-40%
Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,617.7,6,0.5,-407.682,2014-01-13,2014,1,-0.66,102.95,41%-60%
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,2.388,2,0.7,-1.8308,2014-01-13,2014,1,-0.7666666666666667,1.194,61%-80%
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,243.992,7,0.2,30.499,2014-01-13,2014,1,0.125,34.856,1%-20%
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,81.424,2,0.2,-9.1602,2014-01-13,2014,1,-0.11249999999999999,40.712,1%-20%
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,238.56,3,0.0,26.2416,2014-01-13,2014,1,0.10999999999999999,79.52,0%
First Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,59.97,5,0.4,-11.994,2014-01-14,2014,1,-0.2,11.994,21%-40%
First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,78.304,2,0.2,29.364,2014-01-14,2014,1,0.375,39.152,1%-20%
First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,21.456,9,0.2,6.9732,2014-01-14,2014,1,0.325,2.384,1%-20%
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,20.04,3,0.0,9.6192,2014-01-14,2014,1,0.48,6.68,0%
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,35.44,1,0.0,16.6568,2014-01-14,2014,1,0.47000000000000003,35.44,0%
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,11.52,4,0.0,3.456,2014-01-14,2014,1,0.3,2.88,0%
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,4.02,2,0.0,1.9698,2014-01-14,2014,1,0.49000000000000005,2.01,0%
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders,76.176,3,0.2,26.6616,2014-01-14,2014,1,0.35,25.392,1%-20%
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Supplies,65.88,6,0.0,18.4464,2014-01-14,2014,1,0.28,10.979999999999999,0%
Standard Class,Consumer,United States,Roseville,California,95661,West,Furniture,Furnishings,43.12,14,0.0,20.6976,2014-01-14,2014,1,0.48000000000000004,3.0799999999999996,0%
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,82.8,2,0.2,10.35,2014-01-15,2014,1,0.125,41.4,1%-20%
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art,8.82,3,0.0,2.3814,2014-01-15,2014,1,0.27,2.94,0%
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,10.86,3,0.0,5.1042,2014-01-15,2014,1,0.47,3.6199999999999997,0%
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,143.7,3,0.0,68.976,2014-01-15,2014,1,0.48000000000000004,47.9,0%
Standard Class,Consumer,United States,Independence,Missouri,64055,Central,Office Supplies,Appliances,839.43,3,0.0,218.2518,2014-01-15,2014,1,0.26,279.81,0%
Standard Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage,671.93,7,0.0,20.1579,2014-01-15,2014,1,0.030000000000000006,95.99,0%
Standard Class,Home Office,United States,Newark,Ohio,43055,East,Furniture,Furnishings,93.888,4,0.2,12.9096,2014-01-15,2014,1,0.13749999999999998,23.472,1%-20%
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,384.45,11,0.0,103.8015,2014-01-15,2014,1,0.27,34.949999999999996,0%
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,149.97,3,0.0,5.9988,2014-01-15,2014,1,0.04,49.99,0%
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,1951.84,8,0.0,585.552,2014-01-15,2014,1,0.30000000000000004,243.98,0%
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Office Supplies,Binders,171.55,5,0.0,80.6285,2014-01-16,2014,1,0.47,34.31,0%
First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Office Supplies,Appliances,157.92,5,0.2,17.766,2014-01-16,2014,1,0.1125,31.583999999999996,1%-20%
First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Technology,Phones,203.184,2,0.2,15.2388,2014-01-16,2014,1,0.075,101.592,1%-20%
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,58.38,7,0.0,26.271,2014-01-16,2014,1,0.45,8.34,0%
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,105.52,4,0.0,48.5392,2014-01-16,2014,1,0.46,26.38,0%
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Storage,80.88,6,0.0,21.0288,2014-01-16,2014,1,0.26,13.479999999999999,0%
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art,6.63,3,0.0,1.7901,2014-01-16,2014,1,0.27,2.21,0%
Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,457.568,2,0.2,51.4764,2014-01-16,2014,1,0.1125,228.784,1%-20%
Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Office Supplies,Labels,14.62,2,0.0,6.8714,2014-01-16,2014,1,0.47000000000000003,7.31,0%
Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Technology,Phones,944.93,7,0.0,236.2325,2014-01-16,2014,1,0.25,134.98999999999998,0%
First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,5.98,1,0.0,2.691,2014-01-17,2014,1,0.44999999999999996,5.98,0%
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,54.384,2,0.2,1.3596,2014-01-17,2014,1,0.024999999999999998,27.192,1%-20%
Standard Class,Consumer,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Envelopes,28.4,5,0.0,13.348,2014-01-17,2014,1,0.47000000000000003,5.68,0%
Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,27.68,2,0.2,9.688,2014-01-17,2014,1,0.35000000000000003,13.84,1%-20%
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,9.936,3,0.2,2.7324,2014-01-17,2014,1,0.275,3.312,1%-20%
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Machines,8159.952,8,0.4,-1359.992,2014-01-17,2014,1,-0.16666666666666666,1019.994,21%-40%
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Storage,275.928,3,0.2,-58.6347,2014-01-17,2014,1,-0.21250000000000002,91.976,1%-20%
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,Chairs,1740.06,9,0.3,-24.858,2014-01-17,2014,1,-0.014285714285714287,193.34,21%-40%
